review	sentiment
mother enjoyed stay apostoliss apartment didnt wifi road contacted apostolis key minute work left key close pick wifi bar nearbyby greek people super friendly love apartment problem apartment bright clean lovely balcony rooftop monuments roof cold water ready homemade jam house save morning trip coffee shower great cute birds fashion toilet flush pretty apartment complain didnt apostolis final day managed navigate city major tourist spots nearby minutes foot metro stops met chat cool friendly guy time late check grateful great time lovely memory athens	positive
families total pple loved dimitris yanniss gorgeous neoclassic apartment spacious clean tenants prior stay rude people broke wifi scratched floor improperly opening door polite tourists tourist people respect space days yannis helping taxis talking drivers explain directions greek bobbis airport transfer changing wifi box apartment situated clean street bakerybread factory corner wonderful coffee love eat careful walk figure districts clean stay athens recession economy influx refugees immigrants poverty mental health drugs angry people syndrome graffiti athens city center walking plaka acropolis hope decide athens things love greek culture greek people	positive
charming welldesigned apartment practical wellequipped excellent location acropolis museum short walk tourist center taverns charming streets shops custis great host moment booking recommend places entertainment send location flight extended arrived early morning evening delay waiting smile excellent highly recommended	positive
stay pelagias apartment greatwe appreciated kindness place nice beautiful welcomed fruits sweets big bottle cold water tea coffee sugar cook oil salt sauces apartment big terraces great view acropolis air conditioners apartment hot water convenienceher recommendations visits restaurants enjoyed athensthe apartment floor building night offices floors apartment situated central minutes walk agora hadrians library neighborhood animated lot restaurants bars street open supermarket close multiple coffee shops	positive
pictures beautiful apartment nice metro station blocks walking toni super nice explaining city waiting time issues checking recommend tonis apartment	positive
nice stay athens wife billys luxury apartment vassilis helpful finding apartment met team station lost min walk tram takes straight heart athens syntagma square nearby archeological sites grocery stores minutes walk cafes nearby large street market saturdays restaurants nearby tram stops station restaurants great food including american english style breakfasts apartment clean wifi worked extremely channels english including bbc news great stay highly recommend	positive
great location george helpful accommodating checkin amenities work mattresses sunken uncomfortable feel springs poking making difficult night sleep biggest hassle bedsheets stains needed replaced washed location hard beat place good night sleep	positive
nights passable impressed wifi barely worked based previous reviews issue months kitchen bit attention lacked basic stuff microwave toaster close metro station small supermarket restaurants	negative
alkis apartment couple nights general stay good quick communication host easy instructions checkin checkout apartment nice good details clean bed uncomfortable pillows bed sheets fantastic problem mattressi dont neighbourhood close centre city walking	positive
great place spend couple days athens close plaka square foot apartment easy clean stay supermarket closem case extra bed bit hard taste problems fitting tall guy everyhting great great hosts offer lot helpful	positive
amazing location view airbnb host panos stay amazing trip family ice cold air conditioning close sites love	positive
communicating absolutely wonderful welcomed spotless apartment kitchen short breaks perfect planning advantage athens offer greek sodas big bottle water fridge ice cold waiting settle	positive
nice cosy apartment center athens everywere city foot apartment wonderful stay host romanos kind helpful arrived waited nice bottle cold water booked taxi fromto airport short perfect place stay citytrip athens recommed	positive
great space great location georges host met late plane delayed parking space recommend stay athens	positive
nadina perfect host friend wonderful time athens staying apartment nights super clean modern comfortable communication nadina stay quick clear friendly understanding flight delayed apartment conveniently located acropolis walking distance major attractions metro station highly recommend place	positive
place claims location awesome longer advantage toni great work process seamless small issue hot water runs fast feel common issue tight time schedule wait hear showers	positive
enjoy stay athens klara house confortable house cold air nice terrace safe district akropolis suggested spend days athens	positive
apartment great location easy walk acropolis location clean dark prepared sunlight wake issue light complain stay recommend affordable place athens	positive
george chris flight delayed didnt chris kind contact finally arrived gently introduced apartment express	negative
lovely apartment great views acropolis acropolis museum location museum great restaurants nice area book place wonderful locationnear plaka nice areas konstantinos booked trips tofrom airport driver helped airport luggage lost flight athens	positive
eugenia absolutely phenomenal delayed flight patiently waited arrive ideas things extra mile taxi port morning apartment cozy stay amenities included highly recommend visiting wonderful city	positive
apartment close acropolis shops nice terrace years fireworks issues heater work initially pretty nice stay	neutral
natassas place wonderful location awesome nice pastry shop coffee opposite flat handy close nice cafes restaurants pangrati natassa wonderful host attentive helpful start finish lot trip smooth highly recommended disappointed	neutral
enjoyed staying lynn athens neighborhood great place needed loft bed cozy bit warm fully functional kitchenette restaurants shops metro station nearby mention short walk acropolislynn helpful sorting issues issue locks checking lynn arrived resolve	positive
tonis airbnb clean great amenities perfect location tourist areas acropolis surrounding barscafes separated bothered apartment great balcony brand bathroom comfortable bed nightly rate fair complaint stayed night wouldve longer	positive
stelios place couple visiting athens days place elegant cold space cleverly provided comforts opinion strategically place stay town apartment pretty quiet	positive
excellent location heart athens close monastiraki eolou close ermou building bit apartment perfectly furnished family washing machine iron floor elevator wide balcony nice view acropolis plan staying winter advised place insulated cold heaters apartment room time problem seasons owner problem simple advice	positive
great place central wifi problems minor hard apartment weird mini market street keys neighborhood safe night close touristy locals	positive
apartment centrally located walking distance acropolis clean good size number building coordinates map wandered bit heavy bags finding working checked alexandros remote started working evening started leaking water didnt feel safe hot flat windows face school yard breeze open living room doesnt cool bedroom school door loud early day shouldnt issue checking alexandros booking	negative
absolutely wonderful flight delayed hours extremely accommodating room clean spacious essentials location center attractions minutes head center planka busy neighborhood food souvenirs clothes extended check time allowed store bags explored arranged private cab drive airport athens stay recommend	positive
centre athens reachable nearby metro station nice balcony comfy bedroom clean bathroom sofa bed rusty close breaking description apartment bed sofa bed recliner doesnt fit people push convenient sofa bed comfortably fit people washing machine didnt work dryer hot tub gym breakfast provided disappointed glad nights nights opinion	negative
excellent stay appartmentbecause flight delayed late night feet communication swift perfect checkin flexiblewe misfortune encountering small problems agriris brother fixed notime perfect servicethere ample city walking distance public transport easy route airport archeological museum crawling distancebedroom dark yeah beds cushions superrrrfirm slept roses wifi superstrong swift minor point milldew smell bathroomwould recommend staying good price great appartment	positive
phenomenal location values airbnbs ive stayed cheap comfortable high quality complaint bedroom super hot europe couple people tough perfect percent time people fit room great stay recommend	positive
anna communicative arrival communicate left country flight hour late anna warmly apartment simple adorable perfect space apartment perfectly located min walking distance hop hop tour stops minutes walking monastiraki square favorite places food souvenirs famous meat fish markets location book anna visit gazi area post missed anna	positive
husband fantastic stay apartment main road fairly quiet minute walk restaurants acropolis sites apartment communication host thing recommend socks tiled flooring cold netflix great bonus heating work wonderful stay	positive
poets place absolutely beautiful view balcony vasiliki accommodating delayed ryanair flights short stay cool neighbourhood	positive
ill pros cons list pros ideal location shops metro spotlessly clean decorated nicely host helpful apartment ideal couple perfect stayed short stay baby extra adult bit cramped manageable definatly cons sofa bed uncomfortable sleep noisey times small inconvineces stay note traveling serum apartment perfect minute walk clinic staying safe area main street	positive
george moment spoke exeptional host kind helpful apartment pictures great view equipment clean problem faced autonomus heating working aircondion keeping house warm case open aircondion day warm health issues small bedroom doesnt aircondion inside employee georges office brought small heater neighbour safe lot parking space road defenately stay	neutral
house nice located south acropolis min walk acropolis museum min walk plaka restaurants stores apartment amenities fully equipped kitchen fridge drinks washer hair dryer shampoo conditioner emy owner amazing pick parents airport dont lost waited extra hour flight delayed amazing emy	positive
place clean instructions clear location excellent short issue wifi ive host solved eventually ive problemthe host didnt exchange word kind person talk host mind	neutral
great host major issue terrace great shadeconnection time good difficulty attending meeting	positive
nice place stay athens apartment amazing walking distance interesting athens cosy beautiful awesome views acropolis terrace aemilia maria extremely kind maria warm kind flight delayed arrived apartment place athens	positive
super location accomodations good wifi limited bedrooms rear apartment	positive
host lovely response time questions easy city walking distance acropolis nice restaurants area issue apartment door difficult open operator error	positive
dafni arrived provided snacks cold water fruit room tour practices deal bathroom air conditioning private patio good suggestions visit dogs bar monastiraki minute walk bus station metro station making fantastic location explore athens neighborhood welltodo safe wonderful restaurants dafni enthusiastic warm hostess inviting join points dogs cats cute	positive
apartment location close restaurants shops walking distance archeological sites unit clean spacious fantastic view acropolis day night rooftop patio instantly charis communicated responded messages delayed arriving apartment recommend unit visiting athens	positive
fantastic star service round andreas helpful quick responses fantastic guide prior arrival guides tips enquired special wine tour andreas looked details booked arranged transfer check fantastic supplies delayed flight place amazing clean spacious lots amenities jacuzzi standout spend night sat glass wine fully air conditioned lucy departure lovely lady praise andres lucy apartment absolute visiting athens close add enjoyment holiday air bb lot service received hope pleasure future	positive
excellent choice place spotless design pretty modern bathroom spacious worked athens greeted cold bottles water fridge host coffee impressed rooftop terrace view athens	positive
small studio apt close acropolis metro access place felt clean arrived biggest recommendation invest longer shower curtain apt didnt shower stall blow shower water drip bathroom floor rug wet didnt dry bathroom feel dirty pretty water damage bathroom door issue host responsive welcoming toilet paper couple euros mini market close ton tasty restaurants coffee shops minutes walking distance enjoyed exploring athens stay apt complex locked downstairs entrance felt safe stay walking night felt comfortable neighborhood price great apartment	positive
fenia wonderful apartment nice stay nice neighborhood busy commercial strip days plenty room son fiance fenia waiting greet apartment building arrived note cab airport apartment dont cab driver city center charge cab driver pull patient explain unit provided maps navigate athens apartment close acropolis metro easy minute walk busy streets touristy sights perfect base enjoyed son join balcony main room mornings sipped coffee graciously provided fenia entertained watching neighborhood stray cats alley highly recommend apartment visiting athens fact sister law athens visit apartment curious impressed leaving recommend place visitors city small hiccup fiance left unit morning leaving keys believed door building left unlocked day day fiance started throwing rocks apartment balcony standing building hour attention inside residents leaving entering building bad thing residents apartment building mindful safety good feel safe staying frustrating fiance time lesson learned keys leaving unit enjoyed unit great bargain travelers includes comforts	positive
vasilikis place good choice location convenient visit main attractions athens akrapolis museum min walk host kind responsive stay including tea coffee toiletries homemade cake bottle greek wine expected greek hospitality problem cold day weather athens unusually cold heated flat day vasiliki day	positive
harry literally saved trip athensbooking magical apartment minutehanni person received super nice time explain athensthe apartment incredible bad place visit athens place stayalso location excellent	positive
room apartment photos clean luminous nice rafael extra helpful waited flight delayed neighbourhood active lots nice cafes restaurants walkable distance recommend place stay	positive
clean cozy flat good location athens neighborhood ideal distance major attractions host prompt proactive responding guest issues highly recommend place	positive
place nice issues heat hot water owners great communicating helping figure great location lots restaurants bars wonderful stay	positive
good location easy building main road close evangelismos metro station apartment cafes bars restaurants market blocks visit touristic places walk onetwo stations distance metroinside apartment person trip communicate amelie good friendly answer bring slippers coming floor apartment cold carpet	positive
jannis great host easy communicate apartment great location loved playing vinyl albums couple issues bathroom fixtures shape good experience	positive
super flat amazing locathion kind owner lot minus room didnt air conditioning reaaly hot night close area open window isnt big room comfort cold recomend stay	positive
property wanted space clean welcoming amenities provided stay location great bus station property center city nasos communicative stay provided guide property citythe thing comment hot water heater someones turn causing water turn cold middle shower recommend property	positive
stayed panagiotis place nights perfect place easygoing traveller located center town clean common places bathroom fast communication owner definitelly visit time athens downside heating didnt feel cold lady xenia welcoming coffee long conversation xenia awesome good luck life	positive
stayed week height tourist season apartment absolutely great spacious clean comfortable amenities short long term stay location great neighborhood bit seedy feel graffiti safe close main tourist attraction athens minutes walk bad apartment homey feel stay heartbeat yiannis great host excellent job keeping contact highly recommended	positive
place nice nice location comfortable modern decorated host great helping issue polite	positive
fault place light clean stylish modern comfortable quiet area close train station perfect day stay highly recommend marina responsive helpful thankyou	positive
flat lowbusdget option small bit small persons furniture bit hill table chair shake hard sleep sofa bed folding door eating living place hear smell refridgerator pictures flat small refridgerators freezer chest didnt work properly description flat wifi problem network didnt work inside flat balcony late checkin price unbeatable min metro station min city centre climate control worked hot weather	negative
view disappointed	negative
airbnb apartments stayed small clean washing machine cold bottle white wine waiting cheese toast gracious late arrival ioannis equipped apartment close metro walked acropolis everyday day times returning nap	negative
apartment great airbnb rentals weve stayed includes fully fitted kitchen great shower room fantastic views balcony acropolis location perfect walking city building located entrance monastiraki metro making easy airport hassle central city loud night apartment quiet secluded netflix great bonus rest evening hard day exploring city loved apartment anna great host hand quick responses planning booking queries happy recommend apartment	positive
lovely apartment stylish modern close metro station minutes underpass stairs located cafsthe staff replied fast helpfulas earlier reviews mention water running showeringthe area completely safe stayed november issues	positive
great location margarita helpful stay finding solutions luggage lost airline recommend staying	positive
amazing airbnb artistic bohemian airbnb absolutely fantastic room large high ceilings bed low ground building cold warm historic building cool hosts pamphlet recommendations nice places town nice relaxing recommend experience	positive
evelyn gracious host apartment clean pictured didnt chance meet panos evelyn helped advantage cab driver dropping athens airport arriving late hungry evelyn kindly walked nearby restaurant didnt lost helped print ryanair boarding passes force print ahead time pay hefty fee print airport realized language issues print boarding passes neighborhood shop wonderful stay apartment comfortable evelyn helped feel highly recommend staying evelyn panos hope future travels bring athens	positive
toni place fantastic toni responsive flexible flight luggage issues arrived place passed local time toni meet apartment late hour location perfect walking distance landmarks plaka district restaurants supermarkets nearby stay	positive
francescos apartment lovely compact filled amenities extended stay marilee francesco helpful issue lovely hosts	positive
zoulis place incredible amazing host stayed beautiful place month felt apartment tastefully decorated choice pieces cosy bed great couches daytime naps zouli gem youll hard pressed host kind thoughtful fun suggestions places making needed local celebrations easter sunday location perfect quiet street heart bubbly thisseio gorgeous view acropolis walking distance forget stay amazing house zouli hope	positive
perfect location close monastiraki acropolis bed comfortable amenities reviews noise issue highly recommend staying	positive
raninas downtown athens apartment great great location great space family stayed days sights athens easily walking yearold grocery stores taverns bakeries nearby awesome deck ranina great hostess meeting bus walk apartment lost arranging taxi airport stay highly recommend apartment stay athens great close action quiet residential area	positive
host responsive apartment clean comfortable neighborhood lovely lots nice bars restaurants walking distance acropolis short coming internet speed fast bit hard working remotely enjoyed stay	positive
place great location close public transport plaka amazing view city acropolis terrace hundreds restaurants close excellent shopping pretty walked house clean niki excellent host arranged car pick drop airport wonderful sitter son thing note house sits hill issues ambulation house awesome worth walk amazing view highly recommended	positive
location acropolis crib spot fantastic minutes walking distance acropolis fantastic restaurants shopping garden lovely view rooftop terrace breath plaka neighborhood wonderful place stay athens apartment enjoy ease critique directions monastiraki station confusing lost carrying luggage closer easily accessible akropoli station denis father generous walk metro station morning catch early flight generous grateful nice place stay athens	positive
flight delayed georges wife waited hour apartment check apartment modern bathrooms bedrooms ita minute walk gazi restaurants bars clubs nice small restaurants minute walk amazing stay	positive
athens nice city transport lost dora host pick metro details city helpful nice amazing woman	positive
boyfriend absolutely loved tanasis apartment spacious views bedroom living room wrap balconypatio amazing food fridge case wanted breakfast plenty toiletries laundry detergent load laundry bed comfortable everyday wake beautiful view temple zeus lit night tanasi accommodating ensured apartment alright flight delayed	positive
enjoyed stay apartment balcony seating great relax day sightseeing flat lovely kitchen living room photos modern bedroom small price apartment single bed drawer set space walk literally walk door bed metro station approx minutes apartment city centre stops matter minutes everyday handy walk area apartment dodgy houses street leading flat walked everyday metro issues women late night mum enjoyed stay isnt supermarket easy walking distance local cafe shops coffee bakery goods nice apartment bedroom small parts neighbourhood sketchy trouble communicating host easy check housekeeper keys arrival metro stops city centre dont mind	positive
wonderful place acropolis metro plaka situated lively veikou strone restaurants town meno male door cocktail barsrestaurants great location good price comfy bed nice sheets fresh towels place clean care spacious kitchen shut windows room complete dark day surprisingly complete silence sleep sorts detergents cleaning materials responsive host easy communicate ready resolve issue central great walking reaching central spots city difficult parking	positive
spacious appartement enjoyed location city centre close nice bars restaurants great breakfast places traffic street brings quietness nightthe appartement cleaned double bed good single bed uncomfortable child adultthe indoor plumbing improved bath tub bucket toilet simply pulling plug nicer relaxing bathcommunication responsive friendly	positive
loved staying marias place fault fantastic neighbourhood perfect location gorgeous accomodation ideal families maria totally switched arranged stay experience effortless maria	positive
central location convenient apartment konstantinos wait till delay flight recommend airbnb apartment	positive
tasos great fast replies issues staying disappointed hot water situation water hot minutes message tasos sort paid house didnt hot water days tasos refund night kind case book house recommend spend bit place location amazing minutes acropolis booked originally didnt felt house located ground level hear walking talking streets kind creepy people knocking door fani recumbent girl easy house clean tasos helpful kind	negative
emilia place wonderful located quiet street close key attractions place matched description check smooth issues note	positive
dimitris perfect host friends check late informative small issue didnt nice photos great price dont forget sign wall fame	positive
great space small eleftherious met personally great briefing place surrounds criticism bed rock hard terrible pillows personal preference fine	positive
place stunningly beautiful excited stay photos honestly expected neighborhood rough hey athens honestly experience worked amazingly needed extremely hot visitto athens argyro colleague mimes welcoming kind apartment leave easily stay places athens stay disappointed	positive
hosts extremely communicative responsive appreciated late hour checkin flat great spot historic places restaurants bars walking distance easy access public transportation happy stay picked flat looked pretty case practical walk head roof short bathroom freezing cold hot water waited minutes water warm cram building	positive
teo super nice host picked airport things forgot helped sightseeing bars nightlife helpful saved time case needed didnt feel lost big unknown city big feel welcomed homely apartment big people atmosphere cozy thing apartment bit noisy great week enjoyed lot	positive
jordi charming caring lost room confortable clean flexible nice receive midnight recomend	positive
tatiana great host nice thoughtful apartment nice clean thing heating central turned day evening athens weather problem day cold bit uncomfortable inside neighbourhood weve people yard bit noisy nights great sweets tatiana kindly brought day	positive
stay great yorgo helena feel welcomed provided lots city spacious needed comfortable hosts friendly understanding flight delayed arrived discussed location perfect bus apartment small markets nearby apartment acropolis provide tips bus metro glad decision stay	positive
wonderful apartment good location close metro mins centre athens great holiday perfectly touches apartment great tea coffee bottle wine balcony highlight dinner night watching sunset lovely decor wonderful bright cheery great place stay simonida great host met station didnt lost great guide local area easy settle local amenities	positive
kals place sweet apartment close key parts town smack middle place pretty comfortable decent bedroom kitchen bathrooms small serviceable kal helpful checking sister opened door patient flight delayed hour helping athens memorable stay	positive
careful arrived apartment attacked thieves area omonoia appears highly dangerous lot criminals poor people men criminal entrance garbage result forced leave middle night hotel people taxi managers hotels approved area omonoia dangerous recommended tourists things war prescription apartment	negative
beds uncomfortable good place crash night recommend long period time	positive
oasis athens located bunch motorcycle repair shops apartment hidden treat thoughtful touches great including treats breakfast foods sitting acropolis sunset heaveni recommend small exception guests mobility issues shower	positive
nancy nasir family great hosts arrived nye nasir knowing grocery stores restaurants closed days prepared breakfast items fresh milk juice thoughtful responsive helpful travel suggestions greece appreciated airbnb absolutely gorgeous cozy cold weather kitchen fully equipped needed hosts provided nespresso capsules bathroom stunning clean highly recommend airbnb visiting athens	positive
dimitri good host wifi didnt work showers cold	neutral
tasos informative stay details eat locations helpful apartment comfortable clean appointed traveler thoughtful touch cold beers water fridge fresh fruit good navigating airports taxi cabs foreign country	positive
great local plaka ancient sites mobility issues squeamish homeless camp street door challenging location real kitchen sink camp fridge coffee maker living room transportation local challenging directly property hauling luggage flights ancient stairs long travel day super fun driver host helped hire great expensive stressful realiyvaccokidstes people necessitates fleeting main living room couple guests rooms bathroom living room couch real bed quests overly picky observation set proper expectation guest	positive
wow elenis flat perfect location plaka easy access sites double decker buses plenty notch restaurants wonderful host time write detailed list great places authenticdelicious food minor issue flat handled terrific communication stay wonderful hostflat city acropolis prebuying ticket downloading guide phone head hill opening favorite vacation rental	positive
amazingly tranquil place middle bustling city pulsating bars open late opposite building entering stylish groundfloor flat closing bedroom door oasis tranquility doors balcony quiet green backyard ioannis kind mother welcoming good hour problem reaching host arrived admit panic moment public transport strike day hotels area booked disappointed airbnb handled ioannis helpful charming received kind local tips generous checking love	positive
exceeded expectations apartment view priceless apartment beautiful architecturally design wise host incredibly helpful helped taxi departure host leaves info city town apartment thing air conditioning bedrooms confused cold air fault host apartment snowflake sign remote air conditioning mode jet lagged heads figured room temp cool things cold	positive
stayed apartment month felt immediatly cozy comfy couch netflix missed things kitchen told hanni brought needed christmas tree welcoming gift thing bed bit squeaky hard definitly recommend staying	positive
john simply helpful accommodating issues train ive arrived late john flexible offered pick meet email hidden airbnb munication fast easy john answer questions location central close places place fell love vintage touch attention details view mention free cold beers snack felt comfortable pleasant stay place gained friend john hope	positive
lauras apartment clean setup located short walk good restaurants patios min walk acropolis bad kolonaki fun neighborhood	positive
airbnb great place stay athens host nikos kind airbnb needed small grocery store nikos informed walk bad attractions downtown athens recommend	positive
nicest airbnb experiences weve family adults teenagers panos place exceeded expectations newly renovated freaking huge good sized bedrooms comfortable beds bathrooms pretty large showers jacuzzi tub kitchen massive modern beautiful nice big dining table multiple stools washing machine coffee maker microwave fridge water dispenser treat constantly buy bottled water huge living room felt guilty exploring fantastic space hang mingle friends family members bigger trip elegant room floors hard wood tile beautiful large balcony kitchen sunny morning perfect spot afternoon enjoy glass wine snack listen foot traffic smaller balconies wall living room massive courtyard bedrooms completely shaded comfortable table multiple chairs sit relax work drying rack laundry head greek isles hardpressed airbnb washing machine rooftop access view acropolis careful high walls railings rooftop night enjoyed magical view careful vent pipes sticking hazard didnt notice frankly roof careful walking matter bedroom air conditioning living room stays super cool spite athens heat condensation drains patio dont leave shoes wetthe location amazing safe street corner forgot jacket bathroom thirsty water pop flat conveniently located fear bedroom hear street noise placepanos friendly energetic met acclimated place list restaurants awesome reservations seconds reaching answered question timely fashion friendly fun bought surprise box greek pastries introduced mastica greek cordial hadnt toasted place heartbeat athens love stay month highly highly recommend	positive
nightmare journey istanbul ralous flat sort comfort family needed wine snacks waiting lovely big sofa feet area wise flat perfect walk parliament building managed chance changing guard ralou meet flat constantly touch taxi driver picked till ferry pireaus felt lost result recommend staying ralou	positive
friends travelling aize apartment ample separate bedroom apartment spacious feel cramped kitchen equipped fotis kind breakfast items coffee hand location walking major signts numerous restaurants walking distance fotis recommendations enjoyed recommend stay	positive
takis super host indeedapartment nice clean bad surprises whatsoever location perfect highly recommended case planning stay athens	positive
lovely apartment host helpful issues arose	positive
stayed months stay good small fantastic stay happened light bulbs close air gaps wallswindows shower head deal breaker big difference long staypositives house equipped long stay including kitchen wares basic toiletries cleaning supplies location good metro street weekly market tuesdays block huge bonus space house people problem fine excellent upstairs outdoor space surfaces easy clean nice big windows brand kind host host space hovering stay fantastic falafel restaurant corner convenience stores mikel negatives wifi strong work tasks mbps mbps eventually work host request wifi speed test booking communication times days messages ahold host excellent helpful host promised couple fixes happened house november december extremely cold insulation lots places air enter meaning heaters frequently rating stars	positive
fault airbnb previous guests moment stepped john giotas house sense calm hectic city visit place overwhelming knowing hosts phone feel ease needed thought everythingdont place stay reason warmest	negative
host violated airbnb rules evidence airbnb refund rest stay honestly recommend book apartments mariia hear codeathena team booked experience recommend calling airbnb demand refund things host clean blanket days working washing machine insist host bring technician codeathena team argue works fine providing evidence doesnt work properly apology airbnb team fully equipped kitchen chopping board things hope owner property manage future things bad days themand codeathena reply false inaccurate complained airbnb apartment star guest early complained	negative
place nice location perfect irresponsible room ready hours check poor communication address correct	positive
apartment absolutely perfect dont bad thing lovely clean accurate pictures washing machine aircon shower slippers perfect long short stays great communication close sights restaurants bars lovely hosts great stay highly highly recommend	positive
ver relaxing couple days nikiforiss place welcomed apartment ver comfortable clean missed cooking facilities issue kindness aris brother lovely mother lives upstairs heated food provided delicious breakfast baked slice enjoy cup tea explored local area discovered fantastic street market progress nearby bakery baclava eaten	positive
appartement located good location walking distance clean engjell replies fast airconditioning cold	positive
wife enjoyed staying marinas apartment visit athensthe apartment spacious equipped kitchen comfortable website hidden airbnb minute walk metro minutes bus communication marina excellent issue lack air conditioning heatwave email hidden airbnb difficult sleep heati necessity summer months greece	positive
great appartment spacious clean bit hard located nice neighbourhood dont worry safe guests attention appreciated	positive
airbnb great location close acropolis great places eat friend loved bakery building drawback bathroom damp created bad smell nice info hosts provide athens appreciated nice kitchen space economical eat night	positive
apartment great lots space clean interesting vintage decor amazing view balcony bathroom small stayed night didnt muchthe location great action touristy places close actual alley apartment located bit skatchy graffiti walls homeless people bad smells aware	positive
report fraud unique studio basic room privacy room room transparent door curtain room imagine level privacy noise isolation lot pictures advertisement room showing host friendly case dislike thinks bit drunk evenings drink hard alcohol guests common area rooms exept stairs floor rooftop misinformation common areas bathroom kitchen toilet basically room kitchen couple times dirty dishes bad smell wireless unavailable couple days slow cheapest option mbit youll hot water remember turn boiler wait approx hour host turning reason good things location rooftop internet isnt rooftop	negative
location wonderful lovely cafes bakeries nearby morning bar coffee breakfast central city recommend anana amazing coffee vegetarian brunchwe walked city nice walking close public transport neededthe apartment cosy rosana helpful checked small issue insect bites rosana hope address lovely apartment stay explore athens	positive
great place heart plaka idea great area stay disappointed location place simple things youll couple great days athens	neutral
rozana helpful flight delayed waited late night great tips athens apartment clean amazing views rozana	positive
communication nik arrival quick complete apartment bed bit hard personal opinion ofcourse sleeping coach children perfect location apartment perfect walking	positive
apartment small perfect clean small balcony nice view pictures small kitchen small bathroom towels big kingsized bed comfy mattress sheets provided air conditioning smart wifi thing missing storage space clothes issue shortstays fine monthsthe apartment located ampelokipi minutes walking distance bus metro stops supermarket restaurants summarise fantastic stay yiannis helpful needed recommend staying	positive
great place close metro downtown athens sites issue space tight fine person tight purely clean sleep spend time great host offered pick airport flight arrived expected metro operating late	positive
pro nice apartment clean neat excellent fancy tiles soft beds enjoyed stay tourist visit acropolis fantastic location excellent restaurants nearbycons cockroach deceased apartment coming host battling washing machine poor result user errornotes met host face face supported messages hot water shower bit tricky host	positive
melinas apartment close metro minute ticket airport syngrou closest station hour couple minutes walk apartment easy changed lines syntagma square mentioned reviews aware pickpockets targeted tourists greeted cold drink theodora feel superb advice didnt meet melina respond messages comprehensive local trip apartment perfectly located athens historical sites notably minutes walk parthenon number great bars restaurants couple minutes check dio dekares kalamaki bar spheka kosmidis patisserie delicious baklava stay athens highly recommended	positive
